time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,breakdown_topic,breakdown,child_count,child_percent,rate_per_100
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Year group,Unknown,210,5,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,Less than 2 weeks,420,10,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,2 to 4 weeks,1150,29,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,4 to 8 weeks,320,8,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,8 to 12 weeks,370,9,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,12 to 26 weeks,670,17,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,26 to 52 weeks,640,16,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,Over 52 weeks,220,6,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Duration,Unknown,210,5,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Moved in from another local authority,500,12,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Moved in from another country,70,2,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,School application awaiting outcome,310,8,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Offered school place but not yet accepted,430,11,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Waiting school start,200,5,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Did not get school preference,30,1,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Unsuitable elective home education,220,5,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Difficulty accessing suitable school place,320,8,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,School dissatisfaction general,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,School dissatisfaction SEND,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Mental health,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Physical health,low,low,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Parental decision not to register at school,10,low,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Did not apply for school place at compulsory school age,30,1,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Challenging school attendance order,80,2,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Believed to have moved to another local authority,280,7,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Believed to have moved to another country,520,13,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Unknown,370,9,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Not recorded,120,3,x
202526,Autumn term,Regional,E92000001,England,E12000005,West Midlands,,,,Reason,Other,520,13,x
202526,Autumn term,Regional,E92000001,England,E12000006,East of England,,,,Total,Total,3440,100,0.4000000
202526,Autumn term,Regional,E92000001,England,E12000006,East of England,,,,Sex,Female,1660,48,x
